phrase,appear times
audio hostem,1
maxima debetur puero reverentia,1
arduus ad solem,1
veritas aequitas,1
arduum sane munus,1
justitia omnibus,1
communi consilio,1
jus edicendi,1
gaudium in veritate,1
munit haec et altera vincit,1
dictum factum,1
hinc et inde,1
potius mori quam foedari,1
ex unitate vires,1
bono malum superate,1
cum laude,1
concilio et labore,1
privilegium minus,1
apage satanas,1
nil sine numine,1
clavis aurea,1
privilegium maius,1
quod est necessarium est licitum,1
in magnis et voluisse sat est,1
semper progrediens,1
alis aquilae,1
jus personarum,1
semper vigilo,1
sit sine labe decus,1
horas non numero nisi serenas,1
tres faciunt collegium,1
bonus vir semper tiro,1
abeunt studia in mores,1
quaque nocte,1
vetus latina,1
pactum serva,1
sapientia et virtus,1
quaque mane,1
venturis ventis,1
familia supra omnia,1
ad terminum qui praeteriit,1
sine scientia ars nihil est,1
jus commercii,1
lux in domino,1
pretium iustum est,1
fabricati diem,1
fiat justitia et pereat mundus,1
quantum libet,1
ecce panis angelorum,1
qualis artifex pereo,1
magna cum laude,1
virtus laudata crescit,1
nutrimentum spiritus,1
amantes amentes,1
singuli in solidum,1
veritas et virtus,1
acta deos numquam mortalia fallunt,1
nihil fit sine causa,1
hoc est bellum,1
orbes volantes exstare,1
deus caritas est,1
ex duris gloria,1
semper primus,1
semper sursum,1
scientia ipsa potentia est,1
post christum natum,1
invictus maneo,1
sapiens qui prospicit,1
de verborum significatione,1
honores mutant mores,1
abnormis sapiens,1
extremis malis extrema remedia,1
amicus usque ad aras,1
manus manum lavat,1
ducit amor patriae,1
floreat pica,1
statio bene fide carinis,1
haud ignota loquor,1
flamma fumo est proxima,1
ante prandium,1
opera quadrata,1
ab invito,1
lector benevole,1
decies repetita placebit,1
extra domum,1
signum fidei,1
de te fabula narrator,1
deus nobiscum,1
crescat scientia vita excolatur,1
lux sit,1
fides punica,1
a pedibus usque ad caput,1
ex infra,1
vince in bono malum,1
bellum romanum,1
bonum commune communitatis,1
a falsis principiis proficisci,1
servus servorum dei,1
devisat vel non,1
verbum domini manet in aeternum,1
ad libitur,1
gaudia certaminis,1
auspicium melioris aevi,1
absolutum dominium,1
hortus in urbe,1
de fideli administratione,1
a cruce salus,1
die dulci freure,1
vivere militare est,1
animus in consulendo liber,1
aqua fontana,1
tendit in ardua virtus,1
aurum potestas est,1
homo sui juris,1
neutiquam erro,1
ante christum,1
video meliora proboque deteriora sequor,1
ex umbra in solem,1
contra spem spero,1
qua definitione,1
veritas christo et ecclesiae,1
quomodo vales,1
fidus achates,1
virtute et industria,1
dominus illuminatio mea,1
omnes una manet nox,1
caritas christi,1
opus lateritium,1
defensor fortis,1
caetera desunt,1
virtus et scientia,1
lachryma christi,1
opera sectilia,1
dis manibus sacrum,1
romanes eunt domus,1
vi coactus,1
christianos ad leones,1
virtute et veritate,1
bona officia,1
